General_Release date,General_Battery capacity (mAh),General_Removable battery,Display_Refresh Rate,Display_Screen size (inches),Hardware_RAM,Hardware_Internal storage,Hardware_Expandable storage,Connectivity_NFC,camera_1_megapixel,camera_2_megapixel,camera_3_megapixel,camera_4_megapixel,camera_5_megapixel,num_cameras,front_camera_1_megapixel,front_camera_2_megapixel,num_front_cameras,Network_SIM_1,Network_SIM_2,General_Price in India
2024.0,5500.0,Unknown,60,6.78,16.0,512.0,Unknown,Yes,50,50,8,0,0,3,32,0,1,Unknown,Unknown,39999.0
2024.0,5000.0,Unknown,120,6.7,12.0,256.0,Unknown,Yes,50,50,8,0,0,3,50,0,1,Unknown,Unknown,28023.0
2024.0,5000.0,Unknown,120,6.7,12.0,256.0,Unknown,Unknown,50,50,0,0,0,2,32,0,1,Unknown,Unknown,21998.0
2024.0,5030.0,No,120,6.79,8.0,128.0,Yes,Unknown,108,2,0,0,0,2,13,0,1,5G,5G,12499.0
2024.0,5000.0,Unknown,144,6.78,12.0,512.0,Unknown,Yes,108,50,2,0,0,3,50,0,1,Unknown,Unknown,26299.0
2022.0,5000.0,Unknown,60,6.67,12.0,256.0,Unknown,Yes,50,50,2,0,0,3,32,0,1,Unknown,Unknown,32666.0
2023.0,5000.0,No,90,6.74,8.0,256.0,Yes,Unknown,50,0,0,0,0,1,5,0,1,Unknown,Unknown,9499.0
2024.0,5000.0,No,120,6.7,12.0,256.0,Unknown,Yes,50,8,2,0,0,3,50,0,1,5G,5G,22590.0
2024.0,5500.0,No,120,6.78,12.0,512.0,Unknown,Yes,50,50,50,0,0,3,50,0,1,5G,5G,55999.0
2024.0,4492.0,Unknown,60,6.1,8.0,256.0,Unknown,Unknown,64,13,0,0,0,2,13,0,1,Unknown,Unknown,50999.0
2024.0,5000.0,Unknown,90,6.74,4.0,128.0,Unknown,Unknown,50,0,0,0,0,1,8,0,1,Unknown,Unknown,7840.0
2024.0,5000.0,Unknown,120,6.67,4.0,64.0,Unknown,Unknown,13,0,0,0,0,1,8,0,1,Unknown,Unknown,7499.0
2024.0,4900.0,No,60,6.7,12.0,512.0,No,Yes,50,12,10,0,0,3,12,0,1,5G,5G,73999.0
2022.0,4500.0,No,90,6.4,8.0,256.0,Yes,Yes,64,8,2,0,0,3,32,0,1,5G,5G,29990.0
2022.0,5000.0,No,90,6.3,8.0,128.0,No,Unknown,50,12,0,0,0,2,8,0,1,Unknown,Unknown,36999.0
2023.0,5000.0,Unknown,60,6.5,4.0,64.0,Yes,Unknown,12,2,0,0,0,2,5,0,1,Unknown,Unknown,7999.0
2023.0,4700.0,Unknown,120,6.7,12.0,256.0,No,Yes,50,8,64,0,0,3,32,0,1,Unknown,Unknown,43990.0
2023.0,5000.0,Unknown,60,6.58,8.0,128.0,No,Yes,50,2,0,0,0,2,16,0,1,5G,Unknown,17999.0
2022.0,4050.0,No,60,6.44,8.0,128.0,Unknown,Unknown,50,8,2,0,0,3,44,0,1,Unknown,Unknown,16955.0
2023.0,6000.0,No,120,6.7,8.0,256.0,Yes,No,108,8,2,0,0,3,32,0,1,5G,5G,35999.0
2024.0,5500.0,Unknown,120,6.67,8.0,256.0,Yes,Unknown,50,2,0,0,0,2,16,0,1,Unknown,Unknown,19949.0
2024.0,6000.0,No,90,6.5,8.0,128.0,Unknown,Unknown,50,5,2,0,0,3,13,0,1,Unknown,Unknown,14499.0
2024.0,5000.0,Unknown,120,6.72,8.0,128.0,Unknown,Unknown,108,2,0,0,0,2,8,0,1,Unknown,Unknown,14459.0
2023.0,5000.0,No,90,6.56,4.0,128.0,Unknown,Yes,50,0,0,0,0,1,32,0,1,Unknown,Unknown,8949.0
2019.0,5000.0,Unknown,60,6.35,3.0,64.0,Unknown,Unknown,8,13,2,0,0,3,8,0,1,4G,4G,12990.0
2013.0,1570.0,No,60,4.0,1.0,16.0,No,No,8,0,0,0,0,1,2,0,1,Unknown,Unknown,8999.0
